file_name	loc_start	loc_end	collision_type	kind	scope	old_name	new_name
unified.js	99310	99320	none	local	Global  Global  ClassVoicingEngine  Func_selectBestVoicing  Callmap  Arg3	currentTop	
unified.js	99410	99415	none	local	Global  Global  ClassVoicingEngine  Func_selectBestVoicing  Callmap  Arg3	range	
unified.js	99510	99515	none	local	Global  Global  ClassVoicingEngine  Func_selectBestVoicing  Callmap  Arg3	count	
unified.js	99710	99714	none	local	Global  Global  ClassVoicingEngine  Func_selectBestVoicing  Callmap  Arg3	dist	distance
unified.js	100010	100017	none	local	Global  Global  ClassVoicingEngine  Func_selectBestVoicing  Callmap  Arg3	topDist	topNoteDistance
unified.js	101912	101924	none	local	Global  Global  ClassVoicingEngine  Func_selectBestVoicing  Callmap  Arg3  If4  If0	resolvedNote	
unified.js	101942	101943	none	param	Global  Global  ClassVoicingEngine  Func_selectBestVoicing  Callmap  Arg3  If4  If0  Callfind  Arg0	n	TBD_n
unified.js	102312	102324	none	local	Global  Global  ClassVoicingEngine  Func_selectBestVoicing  Callmap  Arg3  If4  If1	resolvedNote	
unified.js	102342	102343	none	param	Global  Global  ClassVoicingEngine  Func_selectBestVoicing  Callmap  Arg3  If4  If1  Callfind  Arg0	n	TBD_n
unified.js	103126	103127	none	param	Global  Global  ClassVoicingEngine  Func_selectBestVoicing  Callsort  Arg4	a	
unified.js	103529	103532	none	param	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates	pad	
unified.js	10369	103617	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates	rootSemi	
unified.js	10379	103718	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates	intervals	
unified.js	10399	103919	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates	chordTones	
unified.js	10499	104917	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates	tensions	
unified.js	10599	105919	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates	candidates	
unified.js	104021	104029	none	param	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  CallforEach  Arg0	interval	
unified.js	104211	104215	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  CallforEach  Arg0  If0	semi	semitone
unified.js	104314	104318	shorthand	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  CallforEach  Arg0  If0  For0	midi	midiNote
unified.js	105021	105029	none	param	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  CallforEach  Arg1	interval	
unified.js	105211	105215	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  CallforEach  Arg1  If0	semi	semitone
unified.js	105314	105318	shorthand	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  CallforEach  Arg1  If0  For0	midi	midiNote
unified.js	106212	106213	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  For2	i	
unified.js	106313	106314	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  For2  For0	j	
unified.js	106414	106415	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  For2  For0  For0	k	
unified.js	106512	106513	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  For2  For0  For0	v	voicingCandidate
unified.js	106568	106569	none	param	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  For2  For0  For0  Callsort  Arg0	a	
unified.js	107112	107113	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  For3	i	
unified.js	107213	107214	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  For3  For0	j	
unified.js	107314	107315	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  For3  For0  For0	k	
unified.js	107415	107416	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  For3  For0  For0  For0	l	
unified.js	107513	107514	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  For3  For0  For0  For0	v	voicingCandidate
unified.js	107584	107585	none	param	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  For3  For0  For0  For0  Callsort  Arg0	a	
unified.js	108313	108314	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  If4  For0	i	
unified.js	108414	108415	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  If4  For0  For0	j	
unified.js	108515	108516	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  If4  For0  For0  For0	k	
unified.js	108616	108617	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  If4  For0  For0  For0  For0	l	
unified.js	108717	108718	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  If4  For0  For0  For0  For0  For0	t	
unified.js	108815	108819	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  If4  For0  For0  For0  For0  For0	base	baseChordTones
unified.js	108915	108916	none	local	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  If4  For0  For0  For0  For0  For0	v	voicingCandidate
unified.js	108948	108949	none	param	Global  Global  ClassVoicingEngine  Func_generateVoicingCandidates  If4  For0  For0  For0  For0  For0  Callsort  Arg0	a	
unified.js	110218	110221	none	param	Global  Global  ClassVoicingEngine  Func_selectBassNote	pad	
unified.js	11039	110317	none	local	Global  Global  ClassVoicingEngine  Func_selectBassNote	rootSemi	
unified.js	11047	110417	none	local	Global  Global  ClassVoicingEngine  Func_selectBassNote	targetBass	targetBassNote
unified.js	110810	110818	none	local	Global  Global  ClassVoicingEngine  Func_selectBassNote  If0	bassSemi	
unified.js	110913	110917	shorthand	local	Global  Global  ClassVoicingEngine  Func_selectBassNote  If0  For0	midi	midiNote
unified.js	111311	111319	none	local	Global  Global  ClassVoicingEngine  Func_selectBassNote  If0  For0  If0  If0	bestMidi	
unified.js	111411	111423	none	local	Global  Global  ClassVoicingEngine  Func_selectBassNote  If0  For0  If0  If0	bestDistance	
unified.js	111638	111639	shorthand	param	Global  Global  ClassVoicingEngine  Func_selectBassNote  If0  For0  If0  If0  CallforEach  Arg0	m	candidateMidi
unified.js	111815	111816	shorthand	local	Global  Global  ClassVoicingEngine  Func_selectBassNote  If0  For0  If0  If0  CallforEach  Arg0  If0	d	distance
unified.js	11348	113416	none	local	Global  Global  ClassVoicingEngine  Func_selectBassNote  If1	bestMidi	
unified.js	11358	113520	none	local	Global  Global  ClassVoicingEngine  Func_selectBassNote  If1	bestDistance	
unified.js	113613	113617	shorthand	local	Global  Global  ClassVoicingEngine  Func_selectBassNote  If1  For0	midi	midiNote
unified.js	113812	113813	shorthand	local	Global  Global  ClassVoicingEngine  Func_selectBassNote  If1  For0  If0	d	distance
unified.js	114912	114916	shorthand	local	Global  Global  ClassVoicingEngine  Func_selectBassNote  For2	midi	midiNote
unified.js	115518	115525	none	param	Global  Global  ClassVoicingEngine  Func_isValidVoicing	voicing	
unified.js	11589	115815	none	local	Global  Global  ClassVoicingEngine  Func_isValidVoicing	unique	
unified.js	116019	116020	none	param	Global  Global  ClassVoicingEngine  Func_isValidVoicing  Callsome  Arg0	n	TBD_n
unified.js	116410	116419	none	local	Global  Global  ClassVoicingEngine  Func_isValidVoicing  If1	intervals	
unified.js	116510	116520	none	local	Global  Global  ClassVoicingEngine  Func_isValidVoicing  If1	rootChroma	
unified.js	11668	116619	none	local	Global  Global  ClassVoicingEngine  Func_isValidVoicing  If1	thirdChroma	
unified.js	11678	116719	none	local	Global  Global  ClassVoicingEngine  Func_isValidVoicing  If1	fifthChroma	
unified.js	11688	116821	none	local	Global  Global  ClassVoicingEngine  Func_isValidVoicing  If1	seventhChroma	
unified.js	117710	117724	none	local	Global  Global  ClassVoicingEngine  Func_isValidVoicing  If1	voicingChromas	
unified.js	117022	117023	none	param	Global  Global  ClassVoicingEngine  Func_isValidVoicing  If1  CallforEach  Arg0	i	intervalEntry
unified.js	117111	117117	none	local	Global  Global  ClassVoicingEngine  Func_isValidVoicing  If1  CallforEach  Arg0	chroma	
unified.js	117739	117740	shorthand	param	Global  Global  ClassVoicingEngine  Func_isValidVoicing  If1  Callmap  Arg1	m	midiValue
unified.js	119326	119333	none	param	Global  Global  ClassVoicingEngine  Func_hasValidTensionSpacing	voicing	
unified.js	119414	119418	none	local	Global  Global  ClassVoicingEngine  Func_hasValidTensionSpacing  ForOf0	note	
unified.js	119611	119619	none	local	Global  Global  ClassVoicingEngine  Func_hasValidTensionSpacing  ForOf0  If0	interval	
unified.js	120323	120330	none	param	Global  Global  ClassVoicingEngine  Func_isResolvingDominant	prevPad	
unified.js	12059	120520	none	local	Global  Global  ClassVoicingEngine  Func_isResolvingDominant	currentRoot	
unified.js	12069	120616	none	local	Global  Global  ClassVoicingEngine  Func_isResolvingDominant	keyRoot	keyRootSemitone
unified.js	12129	121219	none	local	Global  Global  ClassVoicingEngine  Func_isResolvingDominant	v7OfTarget	dominantOfTarget
unified.js	12159	121521	none	local	Global  Global  ClassVoicingEngine  Func_isResolvingDominant	subVOfTarget	subVOfTarget
unified.js	122125	122132	none	param	Global  Global  ClassVoicingEngine  Func_hasDominant7thQuality	quality	
unified.js	122626	122633	none	param	Global  Global  ClassVoicingEngine  Func_isDominantTriadQuality	quality	
unified.js	12289	122825	none	local	Global  Global  ClassVoicingEngine  Func_isDominantTriadQuality	perfectFifthDown	
unified.js	123229	123237	none	param	Global  Global  ClassVoicingEngine  Func_computeDiatonicResolution	rootSemi	
unified.js	12339	123315	none	local	Global  Global  ClassVoicingEngine  Func_computeDiatonicResolution	result	
unified.js	12349	123423	none	local	Global  Global  ClassVoicingEngine  Func_computeDiatonicResolution	perfectFifthUp	
unified.js	124325	124329	none	param	Global  Global  ClassVoicingEngine  FuncprecomputeDominantInfo	pads	
unified.js	12519	125110	none	param	Global  Global  FunctoSemi	n	TBD_n
unified.js	12539	125313	none	local	Global  Global  FunctoSemi	root	
unified.js	12549	125410	shorthand	local	Global  Global  FunctoSemi	m	noteToSemitoneMap
unified.js	125720	125727	none	param	Global  Global  FuncgetChordIntervals	quality	
unified.js	12587	125816	none	local	Global  Global  FuncgetChordIntervals	intervals	
unified.js	12597	125914	none	local	Global  Global  FuncgetChordIntervals	typeMap	intervalTypeMap
unified.js	12607	126012	none	local	Global  Global  FuncgetChordIntervals	third	thirdInterval
unified.js	12617	126112	none	local	Global  Global  FuncgetChordIntervals	fifth	fifthInterval
unified.js	12627	126214	none	local	Global  Global  FuncgetChordIntervals	seventh	seventhInterval
unified.js	12789	127812	none	local	Global  Global  FuncgetChordIntervals	no3	omitThird
unified.js	12799	127912	none	local	Global  Global  FuncgetChordIntervals	no5	omitFifth
unified.js	129610	129614	none	local	Global  Global  FuncgetChordIntervals  If4	tMap	tensionSemitoneMap
unified.js	129721	129722	none	param	Global  Global  FuncgetChordIntervals  If4  CallforEach  Arg0	t	tensionName
unified.js	129911	129915	none	local	Global  Global  FuncgetChordIntervals  If4  CallforEach  Arg0	semi	semitone
unified.js	130624	130625	none	param	Global  Global  FuncgetChordIntervals  Callmap  Arg5	i	intervalEntry
unified.js	132011	132018	none	param	Global  Global  FuncrenderTo	element	staffElement
unified.js	13227	132211	none	local	Global  Global  FuncrenderTo	html	htmlString
unified.js	132312	132313	none	local	Global  Global  FuncrenderTo  For0	i	
unified.js	132512	132513	none	local	Global  Global  FuncrenderTo  For1	i	
unified.js	132917	132922	none	param	Global  Global  FuncgetAccidentals	count	
unified.js	13307	133011	none	local	Global  Global  FuncgetAccidentals	html	htmlString
unified.js	13319	133116	none	local	Global  Global  FuncgetAccidentals	isSharp	
unified.js	13329	133212	none	local	Global  Global  FuncgetAccidentals	num	accidentalCount
unified.js	13339	133319	none	local	Global  Global  FuncgetAccidentals	svgContent	accidentalSvgContent
unified.js	13349	133416	none	local	Global  Global  FuncgetAccidentals	tSharpY	trebleSharpPositionsY
unified.js	13359	133515	none	local	Global  Global  FuncgetAccidentals	tFlatY	trebleFlatPositionsY
unified.js	13369	133616	none	local	Global  Global  FuncgetAccidentals	bSharpY	bassSharpPositionsY
unified.js	13379	133715	none	local	Global  Global  FuncgetAccidentals	bFlatY	bassFlatPositionsY
unified.js	13389	133813	none	local	Global  Global  FuncgetAccidentals	yArr	accidentalPositionsY
unified.js	13399	133915	none	local	Global  Global  FuncgetAccidentals	startX	
unified.js	13409	134016	none	local	Global  Global  FuncgetAccidentals	spacing	accidentalSpacing
unified.js	134112	134113	none	local	Global  Global  FuncgetAccidentals  For0	i	
unified.js	134210	134211	none	local	Global  Global  FuncgetAccidentals  For0	x	accidentalX
unified.js	134310	134311	none	local	Global  Global  FuncgetAccidentals  For0	y	accidentalY
unified.js	134410	134417	none	local	Global  Global  FuncgetAccidentals  For0	xOffset	
unified.js	134510	134517	none	local	Global  Global  FuncgetAccidentals  For0	yOffset	
unified.js	135514	135523	none	param	Global  Global  ClassCoFWidget  Funcconstructor	container	
unified.js	138262	138264	shorthand	param	Global  Global  ClassCoFWidget  Funcinit  CallforEach  Arg0	el	element
unified.js	138562	138564	shorthand	param	Global  Global  ClassCoFWidget  Funcinit  CallforEach  Arg1	el	element
unified.js	140215	140222	none	param	Global  Global  ClassCoFWidget  Func_updateState	prevIdx	previousIndex
unified.js	14049	140418	none	local	Global  Global  ClassCoFWidget  Func_updateState	nextState	
unified.js	141820	141825	none	param	Global  Global  ClassCoFWidget  FuncevaluateNextState	state	
unified.js	14239	142310	none	local	Global  Global  ClassCoFWidget  FuncevaluateNextState	S	cofModelRef
unified.js	14449	144412	none	local	Global  Global  ClassCoFWidget  Func_updateLabels	set	labelSet
unified.js	144733	144737	none	param	Global  Global  ClassCoFWidget  Func_updateLabels  CallforEach  Arg0	item	textCacheItem
unified.js	144833	144837	none	param	Global  Global  ClassCoFWidget  Func_updateLabels  CallforEach  Arg1	item	textCacheItem
unified.js	14569	145613	none	local	Global  Global  ClassCoFWidget  Func_updateTransform	negR	negativeRotation
unified.js	14579	145721	none	local	Global  Global  ClassCoFWidget  Func_updateTransform	applyCounter	applyCounterRotation
unified.js	145725	145726	none	param	Global  Global  ClassCoFWidget  Func_updateTransform  FuncapplyCounter	t	textItem
unified.js	146511	146516	none	param	Global  Global  ClassCoFWidget  FuncrotateTo	index	
unified.js	14689	146816	none	local	Global  Global  ClassCoFWidget  FuncrotateTo	normIdx	
unified.js	14849	148424	none	local	Global  Global  ClassCoFWidget  FuncrotateTo	targetBaseAngle	
unified.js	14869	148623	none	local	Global  Global  ClassCoFWidget  FuncrotateTo	currentResidue	
unified.js	14879	148722	none	local	Global  Global  ClassCoFWidget  FuncrotateTo	targetResidue	
unified.js	14887	148811	none	local	Global  Global  ClassCoFWidget  FuncrotateTo	diff	
unified.js	14919	149123	none	local	Global  Global  ClassCoFWidget  FuncrotateTo	targetInfinite	
unified.js	150012	150026	none	param	Global  Global  ClassCoFWidget  FuncanimateTo	targetRotation	
unified.js	15039	150313	none	local	Global  Global  ClassCoFWidget  FuncanimateTo	loop	animationLoop
unified.js	150410	150414	none	local	Global  Global  ClassCoFWidget  FuncanimateTo  Funcloop	diff	
unified.js	15219	152117	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions	getAngle	getAngleFromPointer
unified.js	15289	152814	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions	start	startDragHandler
unified.js	15379	153713	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions	move	moveDragHandler
unified.js	15659	156512	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions	end	endDragHandler
unified.js	152121	152122	none	param	Global  Global  ClassCoFWidget  Func_setupInteractions  FuncgetAngle	e	event
unified.js	152210	152214	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions  FuncgetAngle	rect	boundingRect
unified.js	152310	152312	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions  FuncgetAngle	cx	centerX
unified.js	152410	152412	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions  FuncgetAngle	cy	centerY
unified.js	152818	152819	none	param	Global  Global  ClassCoFWidget  Func_setupInteractions  Funcstart	e	event
unified.js	153210	153212	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions  Funcstart	pt	pointerPoint
unified.js	153717	153718	none	param	Global  Global  ClassCoFWidget  Func_setupInteractions  Funcmove	e	event
unified.js	154110	154112	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions  Funcmove	pt	pointerPoint
unified.js	154210	154222	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions  Funcmove	currentAngle	
unified.js	15438	154313	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions  Funcmove	delta	angleDelta
unified.js	155310	155315	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions  Funcmove	steps	rotationSteps
unified.js	155410	155423	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions  Funcmove	calculatedIdx	calculatedIndex
unified.js	157010	157020	none	local	Global  Global  ClassCoFWidget  Func_setupInteractions  Funcend	snapTarget	
unified.js	15909	159011	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM	ns	svgNamespace
unified.js	15919	159110	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM	C	cofConfig
unified.js	15969	159613	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM	defs	svgDefs
unified.js	16369	163611	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM	hG	handleGroup
unified.js	16379	163711	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM	ky	knobY
unified.js	16479	164711	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM	cG	centerGroup
unified.js	16599	165916	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM	cCircle	centerCircle
unified.js	16659	166514	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM	cText	centerText
